iter	Passed	Remaining
166	1193	13101
167	1200	13090
168	1208	13089
169	1214	13073
170	1220	13053
171	1228	13059
172	1235	13047
173	1245	13074
174	1252	13061
175	1259	13056
176	1266	13042
177	1273	13031
178	1280	13027
179	1286	13008
180	1293	13000
181	1300	12992
182	1307	12984
183	1314	12975
184	1322	12974
185	1329	12969
186	1336	12957
187	1343	12947
188	1350	12940
189	1359	12948
190	1366	12940
191	1371	12913
192	1378	12902
193	1386	12911
194	1394	12909
195	1401	12902
196	1408	12887
197	1415	12883
198	1422	12871
199	1427	12849
200	1433	12830
201	1450	12913
202	1478	13087
203	1566	13792
204	1586	13893
205	1600	13937
206	1617	14012
207	1632	14065
208	1638	14041
209	1650	14064
210	1657	14052
211	1664	14036
212	1671	14025
213	1677	14003
214	1684	13983
215	1690	13959
216	1699	13961
217	1705	13938
218	1711	13918
219	1722	13936
220	1732	13945
221	1739	13928
222	1748	13931
223	1754	13909
224	1763	13914
225	1769	13888
226	1779	13901
227	1786	13881
228	1792	13863
229	1799	13845
230	1805	13824
231	1812	13808
232	1817	13786
233	1824	13770
234	1830	13749
235	1837	13732
236	1844	13724
237	1852	13713
238	1859	13702
239	1865	13681
240	1872	13665
241	1878	13645
242	1884	13622
243	1900	13678
244	1911	13695
245	1919	13686
246	1926	13671
247	1931	13647
248	1940	13649
249	1947	13635
250	1954	13617
251	1961	13603
252	1971	13614
253	1979	13608
254	1985	13586
255	1991	13568
256	1997	13546
257	2003	13526
258	2009	13507
259	2015	13487
260	2021	13471
261	2029	13460
262	2035	13441
263	2040	13419
264	2046	13397
265	2052	13379
266	2060	13372
267	2067	13360
268	2075	13353
269	2090	13393
270	2098	13389
271	2106	13382
272	2114	13378
273	2123	13376
274	2131	13369
275	2140	13369
276	2146	13353
277	2153	13337
278	2159	13319
279	2167	13313
280	2173	13293
281	2179	13279
282	2186	13263
283	2193	13254
284	2200	13243
285	2209	13241
286	2215	13226
287	2223	13215
288	2230	13207
289	2236	13187
290	2244	13179
291	2249	13159
292	2256	13144
293	2262	13129
294	2268	13109
295	2274	13094
296	2280	13074
297	2286	13059
298	2294	13051
299	2300	13033
300	2306	13017
301	2312	13000
302	2319	12988
303	2325	12971
304	2331	12955
305	2337	12939
306	2343	12922
307	2348	12903
308	2355	12890
309	2361	12873
310	2367	12856
311	2373	12840
312	2379	12824
313	2385	12807
314	2391	12791
315	2397	12774
316	2403	12759
317	2409	12746
318	2416	12735
319	2422	12716
320	2428	12701
321	2433	12683
322	2439	12666
323	2445	12650
324	2452	12638
325	2457	12620
326	2463	12603
327	2469	12586
328	2475	12572
329	2482	12561
330	2488	12549
331	2624	13184
332	2630	13166
333	2636	13149
334	2642	13134
335	2650	13126
336	2656	13110
337	2667	13117
338	2674	13105
339	2680	13087
340	2686	13071
341	2692	13051
342	2698	13038
343	2705	13021
344	2711	13008
345	2719	13000
346	2729	13002
347	2737	12994
348	2743	12979
349	2749	12961
350	2756	12948
351	2763	12938
352	2769	12919
353	2774	12901
354	2782	12893
355	2790	12884
356	2819	12976
357	2893	13272
358	2908	13295
359	2919	13300
360	2927	13291
361	2935	13280
362	2942	13270
363	2950	13260
364	2961	13263
365	2967	13249
366	2975	13238
367	2982	13224
368	2988	13209
369	2996	13200
370	3003	13188
371	3010	13173
372	3018	13168
373	3034	13190
374	3043	13189
375	3051	13181
376	3059	13169
377	3066	13158
378	3074	13150
379	3081	13138
380	3089	13130
381	3102	13141
382	3113	13146
383	3134	13191
384	3141	13176
385	3156	13198
386	3164	13188
387	3170	13173
388	3177	13157
389	3183	13143
390	3190	13129
391	3197	13114
392	3208	13120
393	3216	13111
394	3223	13096
395	3229	13081
396	3236	13068
397	3242	13050
398	3248	13036
399	3255	13020
400	3266	13024
401	3273	13012
402	3281	13002
403	3287	12987
404	3294	12976
405	3302	12965
406	3308	12948
407	3314	12931
408	3320	12914
409	3330	12916
410	3340	12913
411	3346	12900
412	3354	12889
413	3360	12873
414	3366	12857
415	3372	12840
